"age","friends","days_active","hours_active","likes","posts","cluster_name","id","sex","name","date_of_birth","post_text","city","state","relationship_status","education","groups_joined","pages_liked","primary_device","last_active_hours_ago","events_responded","notification_setting","privacy_setting","account_age_years","photos_uploaded","comments_30days"
26.8511764231103,332,25,53,1217,34,"Young Active",29,"F","Debra Green","1997-06-12","Looking for friends who are into student loans. Let's connect! #friends #life","Jacksonville","FL","In a relationship","Bachelor's Degree",6,151,"Mobile (iOS)",2,8,"All notifications","Friends of friends",7.4,155,76
15.494996766602,474,26,71,1116,30,"Young Active",30,"M","Steven Thomas","2008-12-13","Feeling conflicted about graduation. Thoughts? 💯","New York","NY","In a relationship","Some College",11,215,"Mobile (iOS)",1.5,9,"No notifications","Public",2.5,370,60
20.9779502751838,274,11,44,651,16,"Young Adult Active",31,"M","Frank Rodriguez","2003-09-25","Just discovered an amazing resource for fitness goals! Game changer! #happy #life","San Francisco","CA","In a relationship","Bachelor's Degree",8,124,"Mobile (Android)",0.5,4,"Important notifications only","Custom",9.5,60,79
34.3908869682239,171,14,34,610,8,"Middle-aged Moderate",32,"F","Elizabeth Sanchez","1989-12-01","Need recommendations for dealing with career advancement. Help appreciated!","Philadelphia","PA","Married","Doctoral Degree",7,86,"Mobile (Android)",0,2,"Important notifications only","Friends only",6.9,351,7
28.2603519672043,300,21,38,894,17,"Young Adult Active",33,"M","Paul Allen","1996-07-18","Finally took the plunge with food trends after months of hesitation. #happy","Philadelphia","PA","In a relationship","Bachelor's Degree",10,106,"Mobile (Android)",10.2,7,"All notifications","Friends only",6.6,380,40
36.1945107431599,367,9,16,804,21,"Young Adult Active",34,"F","Sharon Mitchell","1988-02-13","Can't believe it's been a year since I started outdoor activities! ✨❤️😀","Charlotte","NC","In a relationship","High School",7,109,"Mobile (iOS)",10.8,4,"Minimal notifications","Custom",9.5,310,35
58.6290121757386,95,9,3,0,0,"Senior Light",35,"F","Sharon Wilson","1965-08-26","Just discovered an amazing resource for recipes! Game changer!","Indianapolis","IN","Married","High School",3,16,"Tablet",13.6,0,"No notifications","Friends only",4.9,197,44
40.811903577791,242,14,21,490,6,"Middle-aged Moderate",36,"M","Dennis Jones","1983-11-21","Can't believe it's been a year since I started home renovation!","Dallas","TX","Married","Bachelor's Degree",4,63,"Desktop (Mac)",8.7,1,"All notifications","Only me",14.2,156,33
24.6769654512347,481,27,72,1282,34,"Young Active",37,"M","Brandon Harris","2000-05-11","Spent all weekend on social activism and it was totally worth it.","San Antonio","TX","Single","Some College",16,158,"Mobile (Android)",0.1,9,"All notifications","Friends only",7.2,454,133
36.4738145148743,205,18,8,451,8,"Middle-aged Moderate",38,"F","Sarah Wright","1988-05-02","Thinking about changing my approach to neighborhood events. Any advice? 👏✨","Charlotte","NC","Married","Bachelor's Degree",12,71,"Mobile (Android)",1.4,7,"Minimal notifications","Friends only",5.4,399,64
36.810986343755,334,26,37,831,18,"Young Adult Active",39,"M","Samuel Carter","1987-09-14","Celebrating a milestone with DIY projects today! #blessed","Miami","FL","It's complicated","Bachelor's Degree",7,108,"Desktop (Mac)",0.6,6,"Important notifications only","Friends of friends",10,154,67
34.5174340595834,193,8,15,396,23,"Middle-aged Moderate",40,"M","Daniel Nelson","1990-08-12","Feeling conflicted about 401k planning. Thoughts?","Seattle","WA","Married","Associate's Degree",7,134,"Mobile (Android)",0.8,5,"All notifications","Friends only",14.4,257,41
58.8578324072655,18,8,20,201,2,"Senior Light",41,"F","Lisa Mitchell","1966-01-20","So proud of what I've accomplished with community volunteering this year.","Miami","FL","Married","Bachelor's Degree",7,63,"Desktop (Windows)",3.7,2,"Important notifications only","Friends only",5.8,52,31
58.2608595969487,97,5,0,17,2,"Senior Light",42,"F","Nicole White","1966-09-15","Looking for friends who are into medical appointments. Let's connect! 👍❤️😀","Charlotte","NC","Widowed","Bachelor's Degree",6,10,"Mobile (iOS)",23,3,"Minimal notifications","Friends only",2.9,14,37
42.6606430975337,86,15,31,445,15,"Middle-aged Moderate",43,"M","Gary Green","1982-05-04","Need recommendations for dealing with health insurance. Help appreciated! ✨","Chicago","IL","Single","High School",11,124,"Mobile (Android)",3.7,3,"All notifications","Friends only",7.9,181,44
48.0361728113059,151,14,32,624,16,"Middle-aged Moderate",44,"M","Brian Martin","1976-07-09","Does anyone else struggle with neighborhood events or is it just me? 👏","Columbus","OH","Single","Master's Degree",7,52,"Desktop (Windows)",0.8,2,"Important notifications only","Friends only",12.5,448,6
32.569072630583,297,15,39,778,24,"Young Adult Active",45,"F","Emma Anderson","1991-11-17","Just finished urban living! Can't believe how much I enjoyed it. #motivation #amazing","San Francisco","CA","In a relationship","Bachelor's Degree",16,122,"Desktop (Mac)",0.1,3,"All notifications","Custom",13,40,24
36.9118658028651,292,13,49,942,33,"Young Adult Active",46,"F","Michelle Hill","1987-11-26","Just discovered an amazing resource for food trends! Game changer! #life","San Jose","CA","Single","Bachelor's Degree",6,149,"Mobile (iOS)",2.4,5,"Minimal notifications","Public",8.9,346,72
33.8154852427495,279,28,45,837,30,"Young Adult Active",47,"F","Rebecca King","1990-07-29","Best decision ever was getting involved with travel adventures! 👏🙌 #family","Los Angeles","CA","Single","Bachelor's Degree",11,83,"Mobile (iOS)",8.8,5,"All notifications","Friends only",8.7,350,0
36.8770772768294,249,10,13,623,18,"Middle-aged Moderate",48,"F","Amanda Thomas","1987-08-20","Anyone have recommendations for health insurance? Looking for something new.","Nashville","TN","Married","Bachelor's Degree",8,95,"Desktop (Windows)",2.8,5,"All notifications","Custom",14.7,127,21
40.4077190021449,147,16,13,493,6,"Middle-aged Moderate",49,"M","Brian Taylor","1984-07-12","Learned something new about health insurance today that blew my mind!","Columbus","OH","Divorced","High School",12,120,"Tablet",9.9,6,"Important notifications only","Public",8.2,283,55
31.8803955568238,319,21,40,1268,29,"Young Active",50,"F","Susan Thomas","1993-04-16","Need recommendations for dealing with new technology. Help appreciated! #love","Houston","TX","In a relationship","Bachelor's Degree",6,148,"Mobile (iOS)",0.5,11,"Important notifications only","Friends only",6.7,277,73
22.1936710692148,339,26,56,853,10,"Young Adult Active",51,"M","John Clark","2002-05-19","Looking for a group in the area interested in DIY projects. Anyone?","Phoenix","AZ","In a relationship","Bachelor's Degree",10,202,"Mobile (Android)",2.2,6,"No notifications","Friends of friends",5.6,129,72
26.6238533029735,452,18,73,1162,23,"Young Active",52,"F","Pamela Rodriguez","1997-08-01","Spent all weekend on graduation and it was totally worth it.","Boston","MA","Single","Some College",6,178,"Multiple devices",5,6,"Important notifications only","Only me",7.6,616,82
29.2160484152388,295,16,53,960,21,"Young Adult Active",53,"F","Ashley Roberts","1995-04-28","Thinking about changing my approach to moving cities. Any advice? #instagood #style","Fort Worth","TX","Single","Bachelor's Degree",7,118,"Mobile (iOS)",3.8,1,"Minimal notifications","Only me",12.6,372,83
44.3889193036718,180,10,20,589,14,"Middle-aged Moderate",54,"F","Lisa White","1980-02-21","So frustrated with college savings right now. Need advice!","San Francisco","CA","Single","High School",3,68,"Desktop (Windows)",9.3,5,"Important notifications only","Friends only",11.7,253,28
33.7508328759032,216,20,34,718,15,"Young Adult Active",55,"F","Cynthia Johnson","1990-07-05","Can't stop thinking about first home. It's changed everything for me. 😀","Chicago","IL","In a relationship","Bachelor's Degree",17,123,"Mobile (iOS)",3.3,6,"Important notifications only","Public",6.3,351,8
41.5052670192142,152,13,3,619,10,"Middle-aged Moderate",56,"F","Dorothy King","1983-04-15","Does anyone else struggle with youth sports or is it just me?","Los Angeles","CA","Divorced","Associate's Degree",8,73,"Mobile (Android)",0.6,5,"Important notifications only","Only me",9.5,88,74
67.4640555861466,105,18,0,102,12,"Senior Light",57,"F","Michelle Thomas","1957-01-16","So proud of what I've accomplished with gardening this year.","Miami","FL","Widowed","Bachelor's Degree",2,41,"Desktop (Mac)",8.1,1,"Important notifications only","Public",11.1,10,4
22.3725309991515,301,20,31,538,20,"Young Adult Active",58,"F","Angela Robinson","2002-07-16","Finally took the plunge with child-free lifestyle after months of hesitation. 👏 #friends #love","Miami","FL","It's complicated","Bachelor's Degree",12,130,"Mobile (iOS)",0.2,8,"No notifications","Public",8.9,589,85
64.5535877924301,9,13,0,128,10,"Senior Light",59,"F","Brenda Moore","1960-03-06","Just finished travel destinations! Can't believe how much I enjoyed it.","Indianapolis","IN","Divorced","Master's Degree",7,76,"Mobile (iOS)",10.9,3,"All notifications","Custom",3.6,162,21
17.1023398607123,480,28,63,1107,33,"Young Active",60,"M","Donald Wilson","2008-01-13","So frustrated with university life right now. Need advice! 💯","Los Angeles","CA","In a relationship","Bachelor's Degree",11,107,"Desktop (Mac)",0.3,11,"All notifications","Friends of friends",4.1,362,58
27.9385812855929,489,28,55,1159,28,"Young Active",61,"F","Carolyn Flores","1997-01-30","Finally took the plunge with graduation after months of hesitation. #life #love","New York","NY","Single","Graduate School",17,156,"Mobile (iOS)",2,0,"All notifications","Public",6.9,702,125
40.4482114800036,193,17,24,440,8,"Middle-aged Moderate",62,"F","Shirley Hill","1984-04-18","Need recommendations for dealing with cooking. Help appreciated!","Nashville","TN","Single","Master's Degree",6,49,"Tablet",14.4,7,"All notifications","Friends only",9,353,66
44.8363082847492,199,16,12,256,14,"Middle-aged Moderate",63,"F","Nicole Martin","1980-04-22","Can't believe it's been a year since I started home renovation!","Fort Worth","TX","Married","Bachelor's Degree",11,115,"Desktop (Windows)",0.4,5,"All notifications","Friends only",9.6,287,64
40.3940617645741,270,12,41,450,9,"Middle-aged Moderate",64,"F","Nicole Hill","1984-05-20","Can't stop thinking about work-life balance. It's changed everything for me.","Philadelphia","PA","Married","Bachelor's Degree",3,145,"Mobile (Android)",4.8,4,"Important notifications only","Friends only",7.3,315,96
32.1565008175696,220,14,46,596,12,"Middle-aged Moderate",65,"F","Debra Rodriguez","1992-04-04","Celebrating a milestone with parenting today! #blessed ❤️😀","San Jose","CA","Married","Bachelor's Degree",7,56,"Mobile (iOS)",3.9,4,"Minimal notifications","Only me",10.5,451,22
29.9608840799195,261,17,35,332,14,"Middle-aged Moderate",66,"M","Daniel Thompson","1994-04-06","Thinking about changing my approach to work-life balance. Any advice?","Los Angeles","CA","Married","Doctoral Degree",13,76,"Desktop (Windows)",5.2,6,"Important notifications only","Public",10.4,233,89
32.7048676211938,298,10,39,945,20,"Young Adult Active",67,"M","Charles Lopez","1992-05-15","Looking for a group in the area interested in pet adoption. Anyone?","Denver","CO","Single","High School",6,200,"Mobile (iOS)",1,7,"All notifications","Public",12.3,678,61
59.6331170094579,154,1,8,303,0,"Senior Light",68,"M","Matthew Mitchell","1964-10-31","Best decision ever was getting involved with social security!","Houston","TX","Widowed","Master's Degree",3,37,"Desktop (Windows)",15.1,4,"Minimal notifications","Friends only",2.8,99,0
37.1449080322096,196,13,6,405,7,"Middle-aged Moderate",69,"F","Helen Lewis","1987-04-22","So frustrated with career advancement right now. Need advice!","San Francisco","CA","Married","High School",6,105,"Mobile (Android)",7.1,2,"Important notifications only","Friends of friends",7.6,340,38
23.4446577007318,496,18,47,1429,32,"Young Active",70,"M","Kevin Smith","2001-02-28","Spent all weekend on first job and it was totally worth it.","Chicago","IL","In a relationship","Bachelor's Degree",6,156,"Tablet",2.1,8,"Important notifications only","Public",8.2,605,91
36.6429246644932,183,15,16,390,15,"Middle-aged Moderate",71,"M","Benjamin Torres","1988-01-15","Can't stop thinking about parenting. It's changed everything for me. 😊✨💯","Charlotte","NC","Single","High School",13,78,"Mobile (Android)",5.1,2,"Important notifications only","Friends only",8.9,414,37
59.2132977395951,26,10,22,164,6,"Senior Light",72,"M","Thomas Hall","1965-06-20","Question for those experienced with gardening: how do you handle...?","Indianapolis","IN","Married","High School",5,46,"Desktop (Windows)",9.4,2,"All notifications","Friends only",11.6,155,5
35.3434746450007,250,19,18,461,15,"Middle-aged Moderate",73,"M","Richard Taylor","1989-02-05","Looking for a group in the area interested in family vacations. Anyone?","Los Angeles","CA","Married","Master's Degree",11,46,"Mobile (Android)",0.3,3,"All notifications","Friends only",6.7,160,47
30.0849526026493,315,19,29,626,6,"Middle-aged Moderate",74,"F","Ashley Torres","1994-11-19","Best decision ever was getting involved with mortgage rates!","Charlotte","NC","Married","Bachelor's Degree",7,122,"Multiple devices",3,3,"All notifications","Friends of friends",11.6,351,59
38.9020009787531,184,17,20,375,11,"Middle-aged Moderate",75,"F","Katherine Hall","1985-07-16","Can't stop thinking about parent-teacher meetings. It's changed everything for me.","San Diego","CA","Married","Associate's Degree",12,53,"Mobile (iOS)",3.9,7,"All notifications","Friends only",13.6,78,43
35.226379347312,373,22,37,754,24,"Young Adult Active",76,"F","Anna Hill","1989-09-14","Best decision ever was getting involved with first home! #fun","Fort Worth","TX","Single","Bachelor's Degree",12,102,"Mobile (Android)",1.4,5,"Important notifications only","Only me",7.6,641,57
34.3866478314984,438,26,62,1051,37,"Young Active",77,"F","Donna Hall","1990-05-22","Looking for a group in the area interested in music festivals. Anyone?","New York","NY","In a relationship","Bachelor's Degree",11,160,"Mobile (iOS)",4.3,8,"Important notifications only","Friends only",7.9,600,22
25.0130309797858,496,25,59,1284,25,"Young Active",78,"F","Katherine Miller","1999-09-21","Question for those experienced with first job: how do you handle...?","Seattle","WA","In a relationship","Bachelor's Degree",13,184,"Mobile (Android)",1.4,8,"Minimal notifications","Friends only",8.7,360,98
24.5966503264542,401,22,75,1257,22,"Young Active",79,"M","Robert Adams","2000-03-03","Just discovered an amazing resource for roommate issues! Game changer! 🔥","Miami","FL","Single","Some College",13,129,"Mobile (iOS)",5.2,8,"Minimal notifications","Public",7.1,448,46
64.8149114061993,94,17,0,137,5,"Senior Light",80,"F","Cynthia Hernandez","1960-02-04","Can't believe it's been a year since I started medical appointments! 👍😀","Philadelphia","PA","Married","High School",8,37,"Desktop (Windows)",0.2,0,"Important notifications only","Friends of friends",5.2,154,32
30.2678550827326,262,17,41,720,22,"Young Adult Active",81,"F","Jennifer Garcia","1993-12-30","Has anyone tried the new approach to DIY projects? Worth it? 🎉😀👏 #life","San Jose","CA","Single","Graduate School",11,81,"Mobile (Android)",1.5,7,"All notifications","Friends of friends",11.6,82,101
22.8255079554498,382,30,60,1103,34,"Young Active",82,"F","Anna Carter","2002-03-08","Just finished internships! Can't believe how much I enjoyed it. 👏🙌 #love #amazing","Charlotte","NC","In a relationship","Bachelor's Degree",10,239,"Mobile (Android)",1,7,"All notifications","Friends of friends",5.9,653,158
31.3135137232885,233,19,19,509,19,"Middle-aged Moderate",83,"M","Anthony Lopez","1993-09-01","Best decision ever was getting involved with home renovation! 👍👏","San Antonio","TX","Divorced","High School",0,96,"Mobile (iOS)",4.8,0,"Important notifications only","Friends of friends",10.9,205,18
18.6815220010878,530,30,54,1060,30,"Young Active",84,"F","Donna Torres","2006-04-22","Just finished dating apps! Can't believe how much I enjoyed it. #instagood #family","San Jose","CA","Single","Some College",6,118,"Mobile (Android)",1.6,8,"Important notifications only","Friends only",5.3,597,107
27.0315425603464,411,28,67,1406,23,"Young Active",85,"M","Donald Ramirez","1997-04-25","Learned something new about roommate issues today that blew my mind!","Los Angeles","CA","Single","Graduate School",12,96,"Multiple devices",0.7,11,"All notifications","Friends only",5.7,514,104
22.7017301611012,256,18,25,690,12,"Young Adult Active",86,"F","Amy Nelson","2002-01-23","Just finished moving cities! Can't believe how much I enjoyed it.","Seattle","WA","Married","Bachelor's Degree",9,166,"Mobile (iOS)",0.3,9,"Important notifications only","Friends of friends",5.2,311,93
35.2422868507735,246,19,48,793,12,"Young Adult Active",87,"F","Rebecca Sanchez","1989-09-27","Celebrating a milestone with first home today! #blessed","Dallas","TX","Married","Master's Degree",11,126,"Mobile (iOS)",4.9,8,"Important notifications only","Friends only",9.9,0,54
18.267847302749,427,20,38,1140,30,"Young Active",88,"F","Karen Davis","2006-10-23","Finally took the plunge with music festivals after months of hesitation.","Austin","TX","In an open relationship","Some College",12,129,"Desktop (Mac)",2.5,8,"All notifications","Public",5,633,170
59.0321472094325,113,12,21,124,6,"Senior Light",89,"F","Debra Hall","1965-04-06","Has anyone tried the new approach to social security? Worth it? 🎉","Jacksonville","FL","Married","Some College",8,50,"Mobile (iOS)",2.4,3,"Important notifications only","Friends only",3,70,14
59.9883202144316,116,8,12,142,1,"Senior Light",90,"F","Pamela Harris","1964-09-22","Just discovered an amazing resource for healthcare! Game changer! 😊✨❤️","Chicago","IL","Married","Bachelor's Degree",2,69,"Mobile (Android)",0.3,1,"Minimal notifications","Friends only",5.6,102,19
24.9358513306641,472,25,61,1254,37,"Young Active",91,"M","Joseph Allen","2000-03-29","Can't stop thinking about memes. It's changed everything for me. ❤️","San Francisco","CA","It's complicated","Bachelor's Degree",9,212,"Mobile (Android)",1.9,5,"Minimal notifications","Friends only",9.1,557,99
30.759736609922,338,20,16,717,23,"Young Adult Active",92,"F","Brenda King","1993-08-22","Does anyone else struggle with travel adventures or is it just me? #amazing","Atlanta","GA","In a relationship","Bachelor's Degree",7,114,"Mobile (iOS)",6.1,3,"Important notifications only","Friends of friends",11.9,353,36
27.9925556570054,427,22,59,1103,29,"Young Active",93,"F","Dorothy Rivera","1996-05-15","Anyone have recommendations for first job? Looking for something new. #style #love","Philadelphia","PA","In a relationship","Some College",12,207,"Mobile (iOS)",1.9,9,"All notifications","Public",10,72,94
29.3689378135086,291,18,33,879,23,"Young Adult Active",94,"F","Helen Mitchell","1994-10-30","Learned something new about side hustles today that blew my mind!","San Francisco","CA","Married","Bachelor's Degree",9,56,"Mobile (Android)",0.1,7,"Important notifications only","Only me",10.8,440,39
28.7573221707661,334,23,52,1001,22,"Young Adult Active",95,"M","Jack Ramirez","1995-08-13","Just discovered an amazing resource for DIY projects! Game changer! 😀😀","Houston","TX","Engaged","Trade School",10,87,"Desktop (Mac)",4,7,"Important notifications only","Friends only",7.5,344,38
40.8016369745231,186,20,4,572,10,"Middle-aged Moderate",96,"F","Nicole Moore","1983-10-14","Has anyone tried the new approach to car maintenance? Worth it? 😊❤️🔥","San Diego","CA","Divorced","Bachelor's Degree",11,102,"Desktop (Windows)",0,2,"All notifications","Friends only",9.3,152,6
22.8317902920137,402,25,44,1244,32,"Young Active",97,"F","Lisa Campbell","2001-09-21","Does anyone else struggle with music festivals or is it just me?","Atlanta","GA","Single","Bachelor's Degree",17,100,"Mobile (Android)",1.1,4,"All notifications","Friends of friends",7.6,620,40
37.6870620955013,231,21,38,819,26,"Young Adult Active",98,"M","Gregory Lee","1986-11-14","Best decision ever was getting involved with urban living! #motivation #love","San Diego","CA","Divorced","Bachelor's Degree",12,95,"Mobile (Android)",4.7,5,"Important notifications only","Friends of friends",9.5,143,64
29.1487671169196,335,16,19,508,16,"Middle-aged Moderate",99,"M","Gregory Jones","1995-09-10","So proud of what I've accomplished with career advancement this year.","Indianapolis","IN","Single","Bachelor's Degree",9,65,"Multiple devices",1.5,6,"Important notifications only","Public",6.6,19,0
45.1350230964572,115,16,14,307,15,"Middle-aged Moderate",100,"M","Michael Hall","1979-11-19","Need recommendations for dealing with 401k planning. Help appreciated!","Charlotte","NC","Married","High School",11,95,"Mobile (iOS)",2.1,4,"All notifications","Friends only",9.3,232,71
38.7575853340503,201,14,18,557,9,"Middle-aged Moderate",101,"F","Samantha Jones","1985-08-14","Spent all weekend on parent-teacher meetings and it was totally worth it.","Jacksonville","FL","Married","Bachelor's Degree",1,84,"Mobile (iOS)",6.2,3,"Important notifications only","Custom",14.4,440,17
32.111601929162,397,22,37,750,21,"Young Adult Active",102,"F","Emma Davis","1992-08-02","Best decision ever was getting involved with professional networking!","Dallas","TX","Divorced","Master's Degree",11,111,"Desktop (Windows)",0.7,4,"Important notifications only","Friends of friends",12.4,300,5
29.9382664681984,492,28,55,1230,25,"Young Active",103,"F","Carol Walker","1994-08-23","Question for those experienced with internships: how do you handle...? 🙌","Dallas","TX","In a relationship","Some College",10,108,"Mobile (iOS)",0.2,8,"All notifications","Friends of friends",6.8,304,46
44.1778408601751,191,16,13,650,14,"Middle-aged Moderate",104,"M","Dennis Walker","1980-02-23","Just discovered an amazing resource for mortgage rates! Game changer! ❤️","Dallas","TX","Married","Bachelor's Degree",10,108,"Mobile (Android)",8.5,4,"All notifications","Friends only",13.7,24,72
21.6973907047715,477,27,58,1186,28,"Young Active",105,"M","Kevin Hernandez","2002-10-10","Does anyone else struggle with graduation or is it just me?","San Jose","CA","In a relationship","Some College",8,201,"Mobile (iOS)",0.1,8,"Important notifications only","Friends only",6.9,523,145
